id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201210,CIBINONG,32.01.01,CIBINONG,SD N BEDAHAN 01,20201314,NEGERI,BEDAHAN RT 01 RW 10,2023
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201210,CIBINONG,32.01.01,CIBINONG,SD N KARADENAN,20201662,NEGERI,JL. PEMDA SUKAHATI CIBINONG,2023
100,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201180,CILEUNGSI,32.01.07,CILEUNGSI,SD N CILEUNGSI 03,20201768,NEGERI,JL PASAR LAMA DESA CILEUNGSI,2023
1000,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201070,CIOMAS,32.01.29,CIOMAS,SD N CIOMAS 09,20230484,NEGERI,KP DUREN RT04 RW06,2023
10000,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,SD NEGERI 2 SUCI,20244508,NEGERI,DESA SUCI,2023
10001,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,SD NEGERI 3 MUNDUPESISIR,20214550,NEGERI,JALAN RAYA MUNDUPESISIR ( BELAKANG PASAR MUNDU ),2023
10002,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,SD NEGERI 3 PENPEN,20214580,NEGERI,JL. LAPANG BOLA NO. 8,2023
10003,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,SDIT WARUDUWUR,70007495,SWASTA,DUSUN I RT.02 RW.01,2023
10004,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,SDS HUDZAIFAH IBNUL YAMAN,69790731,SWASTA,JL. DESA LUWUNG BLOK KINAIJA,2023
10005,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,CILEDUG,32.09.02,CILEDUG,SD NEGERI 1 BOJONG NEGARA,20215186,NEGERI,JALAN PANGERAN DIPONEGORO NO. 01,2023
10006,32,JAWA BARAT,3209,KABUPATEN CIREBON,3209020,CILEDUG,32.09.02,CILEDUG,SD NEGERI 1 CILEDUG KULON,20215175,NEGERI,JL. R.A. KARTINI NO. 22,2023
