id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201210,CIBINONG,32.01.01,CIBINONG,SLB NEGERI BOGOR,20230406,NEGERI,JL. RAYA PEMDA KARADENAN (BELAKANG SMKN) CIBINONG
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201210,CIBINONG,32.01.01,CIBINONG,SLB MEKAR SARI 1,20271748,SWASTA,JL. MESJID AL-BALIYAH RT 06/12 PABUARAN - CIBINONG
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201180,CILEUNGSI,32.01.07,CILEUNGSI,SLB BINA SEJAHTERA,20230408,SWASTA,JL. CIGAROGOL RT 08/03
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,32.01.14,LEUWILIANG,SLB ABC TUNAS KASIH 1,20230410,SWASTA,JL. RAYA KAREHKEL NO. 9 RT.01/08
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201300,PARUNG PANJANG,32.01.20,PARUNG PANJANG,SLB AYAH BUNDA,20230407,SWASTA,ANGGUR RAYA NO.5/6 PERUMNAS II PARUNG PANJANG
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201110,CISARUA,32.01.25,CISARUA,SLB AL-FAJRI,69733313,SWASTA,KP.CIDOKOM
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SLB NEGERI HANDAYANI,20253129,NEGERI,JL. RAYA KARANGTENGAH NO. 126
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202230,CICURUG,32.02.16,CICURUG,SLB AL-ROSYADIYAH,20258235,SWASTA,JL. SILIWANGI KP. BANGKONGREANG GG. RODA RT : 03 RW : 04
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SLB NEGERI MUTIARA BAHARI MANDIRI,20202315,NEGERI,JL. PELITA NO. 99 CIPATUGURAN
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202200,CISAAT,32.02.29,CISAAT,SLB PGRI CISAAT,57580344,SWASTA,JL. RAYA CISAAT NO 131
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202170,SUKARAJA,32.02.33,SUKARAJA,SLB ABC PURNA BHAKTI PERTIWI,20258155,SWASTA,JL. GENTONG PASIR NO. 03 RT. 001 RW. 001
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202030,SURADE,32.02.24,SURADE,SLB NEGERI SURADE,20258252,NEGERI,JL. LAPANG LODAYA SETRA SURADE
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202240,CIDAHU,32.02.17,CIDAHU,SLB ABC ANUGRAH,20275994,SWASTA,JAYABAKTI KEC. CIDAHU
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202190,KADUDAMPIT,32.02.30,KADUDAMPIT,SLB BAKTI PERTIWI,20258142,SWASTA,JL. SITU GUNUNG KM. 05
15,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202173,SUKALARANG,32.02.36,SUKALARANG,SLB Sukalarang,69962157,SWASTA,JL. RAYA SUKABUMI CIANJUR RT 03 RW 04
16,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202221,CIAMBAR,32.02.47,CIAMBAR,SLB PGRI CIAMBAR,69760680,SWASTA,JL. CIAMBAR KM 05 PASIR ANGIN
17,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202160,GEGER BITUNG,32.02.40,GEGERBITUNG,SLB PGRI GEGERBITUNG,69830651,SWASTA,KP. NANGOH
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203200,CIANJUR,32.03.01,CIANJUR,SLB A-B BINA ASIH,20271063,SWASTA,JL SURYA KENCANA NO 11
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203200,CIANJUR,32.03.01,CIANJUR,SLB-C BINA ASIH,20269403,SWASTA,JL SURYAKENCANA NO 11
