id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201210,CIBINONG,32.01.01,CIBINONG,SMK NEGERI 2 CIBINONG,69830365,NEGERI,JL. RAYA SKB NO. 1,2023
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201210,CIBINONG,32.01.01,CIBINONG,SMKS BANGUN NUSA BANGSA,69769379,SWASTA,JL. RAYA SKB NO 8 RT 06 RW 07,2023
100,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,SMKS DARUL MUSLIM,20280618,SWASTA,JL RAYA TAJUR RT 04/01 GANG KABUR,2023
1000,32,JAWA BARAT,3205,KABUPATEN GARUT,3205270,CIBIUK,32.05.40,CIBIUK,SMKS ISLAM AS SALAFIYAH CIBIUK,69757364,SWASTA,KP. SUKASARI DESA CIBIUK KALER,2023
1001,32,JAWA BARAT,3205,KABUPATEN GARUT,3205270,CIBIUK,32.05.40,CIBIUK,SMKS IT AL-HAWARI,69758993,SWASTA,KP. CURUG RT/RW 02/06 DESA CIPAREUAN,2023
1002,32,JAWA BARAT,3205,KABUPATEN GARUT,3205270,CIBIUK,32.05.40,CIBIUK,SMKS MUHAMMADIYAH CIBIUK,20262102,SWASTA,JL. PASIR PUGUR SIRNA RASA,2023
1003,32,JAWA BARAT,3205,KABUPATEN GARUT,3205010,CISEWU,32.05.35,CISEWU,SMKN 11 GARUT,20262129,NEGERI,JL. PURWABHAKTI NO. 24 CISEWU - GARUT 44166,2023
1004,32,JAWA BARAT,3205,KABUPATEN GARUT,3205010,CISEWU,32.05.35,CISEWU,SMK GIRI BHAKTI INDONESIA,69915321,SWASTA,KP. PASIR JAMBU RT 03/01,2023
1005,32,JAWA BARAT,3205,KABUPATEN GARUT,3205010,CISEWU,32.05.35,CISEWU,SMK IT BAITUL MA ARIF CISEWU,69905536,SWASTA,JL. CIKARANG RT 01/07 DESA. CIKARANG,2023
1006,32,JAWA BARAT,3205,KABUPATEN GARUT,3205010,CISEWU,32.05.35,CISEWU,SMK KARYA BHAKTI INDONESIA,69915323,SWASTA,KP. MARGAHAYU RT 003 RW 007,2023
1007,32,JAWA BARAT,3205,KABUPATEN GARUT,3205211,SUCINARAJA,32.05.42,SUCINARAJA,SMKS AL FALAH,20257268,SWASTA,JL. PANYEREDAN,2023
1008,32,JAWA BARAT,3205,KABUPATEN GARUT,3205211,SUCINARAJA,32.05.42,SUCINARAJA,SMKS PGRI WANARAJA,20209181,SWASTA,KOROPEAK NO. 771 SUCINARAJA,2023
1009,32,JAWA BARAT,3205,KABUPATEN GARUT,3205020,TALEGONG,32.05.37,TALEGONG,SMK IT TALEGONG,69899219,SWASTA,JLN. TALEGONG - SELAAWI DESA. MEKARMULYA,2023
101,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,SMKS ISLAM MADANI AL HUSAINIYAH,20270490,SWASTA,JL RAYA TAJUR KP RAWA BOGO,2023
1010,32,JAWA BARAT,3205,KABUPATEN GARUT,3205020,TALEGONG,32.05.37,TALEGONG,SMK MEKARWANGI,69938225,SWASTA,KP. KADUNEUNGGANG (JLN. SELAAWI - MEKARWANGI),2023
1011,32,JAWA BARAT,3205,KABUPATEN GARUT,3205221,KARANGTENGAH,32.05.16,KARANGTENGAH,SMK ISLAM AS SYARIEF,69873948,SWASTA,KP. RAGADIEM DS. CINTA,2023
1012,32,JAWA BARAT,3205,KABUPATEN GARUT,3205221,KARANGTENGAH,32.05.16,KARANGTENGAH,SMKS IT CIHANJA,69771399,SWASTA,KP. CIHANJA,2023
1013,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMK AS-SALAM PEUNDEUY,20279895,SWASTA,KP. BABAKAN AS-SALAM,2023
1014,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMK FATAH MA SUM,69947076,SWASTA,JLN. SARIBAKTI,2023
1015,32,JAWA BARAT,3205,KABUPATEN GARUT,3205111,CIHURIP,32.05.25,CIHURIP,SMKS IT BINA INSAN,69759017,SWASTA,JL. DESA MEKARWANGI RT.03/ RW.4,2023
1016,32,JAWA BARAT,3205,KABUPATEN GARUT,3205040,PAMULIHAN,32.05.34,PAMULIHAN,SMKN 13 GARUT,69753554,NEGERI,PAMULIHAN,2023
1017,32,JAWA BARAT,3205,KABUPATEN GARUT,3205100,PEUNDEUY,32.05.26,PEUNDEUY,SMK DARUL HIKAM PEUNDEUY,70042119,SWASTA,KP. BOJONG RANDU RT.01 RW.02,2023
1018,32,JAWA BARAT,3205,KABUPATEN GARUT,3205010,CISEWU,32.05.35,CISEWU,SMK GALIH PUTERA INDONESIA,69915320,SWASTA,KP. PAGER ALAM RT 01/01,2023
1019,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMK AL-ISHLAH CINTARAJA,69935711,SWASTA,KP. BABAKAN CIGOROWEK RT 15 RW 03,2023
102,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,SMKS KESEHATAN ANNISA,20269709,SWASTA,JL.KARANGGAN NO 2,2023
1020,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMK ISLAM MADANI,69949625,SWASTA,KP. CIMUTA,2023
1021,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMKS AS SAABIQ,20244748,SWASTA,JALAN RAYA TIMUR BOROLONG NO. 175,2023
1022,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMKS ISLAM CIPASUNG,20268061,SWASTA,JL. KH.RUHIAT,2023
1023,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMKS IT AL MUQOWAMAH,20268018,SWASTA,PERIKANAN DARAT DS. CIPAKAT,2023
1024,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMKS KESEHATAN KH MOH ILYAS RUHIAT,20268062,SWASTA,"JL. RAYA TIMUR SINGAPARNA, KP. RUJAKGEDANG",2023
1025,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206190,SINGAPARNA,32.06.24,SINGAPARNA,SMKS YPC TASIKMALAYA,20210704,SWASTA,JL. KOMPLEK PESANTREN CINTAWANA SINGAPARNA,2023
1026,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206020,KARANGNUNGGAL,32.06.02,KARANGNUNGGAL,SMK 2 LPPM RI KARANGNUNGGAL,69788582,SWASTA,JL. CIKAPINIS,2023
1027,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206020,KARANGNUNGGAL,32.06.02,KARANGNUNGGAL,SMK IT BUSTANUL ULUM,69947333,SWASTA,TALAGASARI,2023
1028,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206020,KARANGNUNGGAL,32.06.02,KARANGNUNGGAL,SMKS AL AFSAR,20268015,SWASTA,JL. AL-AFSARI NO. 5,2023
1029,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206020,KARANGNUNGGAL,32.06.02,KARANGNUNGGAL,SMKS ARROJA TASIKMALAYA,20210715,SWASTA,"JL. RAYA KARANGNUNGGAL, CIKUKULU",2023
103,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,SMKS KESEHATAN ANNISA 3,10648863,SWASTA,JL. KARANGGAN NO. 25 CITEUREUP BOGOR,2023
1030,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206020,KARANGNUNGGAL,32.06.02,KARANGNUNGGAL,SMKS SWADAYA KARANGNUNGGAL,20210706,SWASTA,RAYA KARANGNUNGGAL NO. 149,2023
1031,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206160,MANONJAYA,32.06.22,MANONJAYA,SMKN MANONJAYA,20244754,NEGERI,"GUNUNGTANJUNG KM.2,5",2023
1032,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206160,MANONJAYA,32.06.22,MANONJAYA,SMKS AL RUZHAN,20279869,SWASTA,JL.RAYA BANJAR NO.83 CILANGKAP MANONJAYA,2023
1033,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206160,MANONJAYA,32.06.22,MANONJAYA,SMKS BHAKTI PERTIWI MANONJAYA,20271672,SWASTA,JL. KARANGTINGAL NO. 52,2023
1034,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206160,MANONJAYA,32.06.22,MANONJAYA,SMKS HUSNUL KHOTIMAH,20229517,SWASTA,KOMPLEK PONPES HUSNUL KHOTIMAH,2023
1035,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206160,MANONJAYA,32.06.22,MANONJAYA,SMKS JAYA MANDIRI,20279872,SWASTA,JL. KALAPADUA NO. 25,2023
1036,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206160,MANONJAYA,32.06.22,MANONJAYA,SMKS PANCASILA MANONJAYA,20210709,SWASTA,JL. PGA NO. 09 MANONJAYA,2023
1037,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206260,CIAWI,32.06.36,CIAWI,SMKS BHAKTI KENCANA CIAWI,20262719,SWASTA,JALAN RAYA CIAWI KM. 20 SUKARESMI NO. 19A,2023
1038,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206260,CIAWI,32.06.36,CIAWI,SMKS CIJANGKAR,20210713,SWASTA,CIJANGKAR NO 29 KECAMATAN CIAWI,2023
1039,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206260,CIAWI,32.06.36,CIAWI,SMKS ISLAMIYAH CIAWI TASIKMALAYA,20210716,SWASTA,JL. PESANTREN SRAHTARJUNINGRAHYU KIARAKUDA PAKEMITAN CIAWI TASIKMALAYA,2023
104,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201200,CITEUREUP,32.01.03,CITEUREUP,SMKS KESEHATAN TRIPLE J,20269416,SWASTA,LANDBAW,2023
1040,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206260,CIAWI,32.06.36,CIAWI,SMKS YADIFA CIAWI,20270173,SWASTA,"JL. PENDIDIKAN, NO.1 LELES TENGAH RT 02 RW 04",2023
1041,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206240,RAJAPOLAH,32.06.34,RAJAPOLAH,SMKN RAJAPOLAH,20244755,NEGERI,JL. CIINJUK NO 1 DS. SUKARAJA KEC. RAJAPOLAH,2023
1042,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206240,RAJAPOLAH,32.06.34,RAJAPOLAH,SMKS PELITA CENDEKIA BANGSA,69752270,SWASTA,JL. STASIUN MARGASARI,2023
1043,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3206200,CIGALONTANG,32.06.27,CIGALONTANG,SMK TERPADU AL-BASYARIYAH,69948933,SWASTA,KP. LAMPINGSITU RT 05 RW 04 CIGALONTANG TASIKMALAYA,2023
