id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,32.01.21,NANGGUNG,SMP NEGERI 1 NANGGUNG,20200582,NEGERI,JALAN PASIRSARI RT 03 RW 02,2023
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,32.01.14,LEUWILIANG,SMP NEGERI 1 LEUWILIANG,20200656,NEGERI,JL. SETU LEUWILIANG BOGOR TELP. (0251) 8647406,2023
100,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,32.01.16,CIBUNGBULANG,SMP PANDU,20200573,SWASTA,JL. RAYA CIBUNGBULANG KM. 15 BOGOR,2023
1000,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP IT AL-FARDIYATUSSAADAH,69946449,SWASTA,KAMPUNG CITEPUS TENGAH RT 02/14,2023
1001,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP IT AL-ISHLAH GADOG CITARIK,69974123,SWASTA,KP. GADOG RT 003/013,2023
1002,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP IT AN NUUR,69946079,SWASTA,JALAN PASIR GOONG KILOMETER 02,2023
1003,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP IT ANNUR CIBODAS,69959932,SWASTA,KP. BATUSAPI RT 13 / RW 04,2023
1004,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP IT KOMARA MANDIRI,69964981,SWASTA,KP. PARUNGCABOK RT 01/01,2023
1005,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP IT MIFTAHUL AMAL,69954506,SWASTA,KAMPUNG JAYANTI RT 04/04,2023
1006,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP MUTIARA TERPADU PALABUHANRATU,20247052,SWASTA,JL. BHAYANGKARA KM 1 PALABUHANRATU,2023
1007,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP PGRI PALABUHANRATU,20247068,SWASTA,JL. BADAK PUTIH NO. 12,2023
1008,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMP PLUS BUNIWANGI,20258446,SWASTA,JL. KIARA LAWANG KM.06 PUNCAK KERAMAT RT.16/RW.04,2023
1009,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMPIT SAHABAT ALAM,69921132,SWASTA,JL. JENDRAL SUDIRMAN RT 04/15,2023
101,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201040,CIBUNGBULANG,32.01.16,CIBUNGBULANG,SMP PGRI CIBUNGBULANG,20200707,SWASTA,JL.RAYA CIBUNGBULANG KM 20,2023
1010,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202110,PALABUHANRATU,32.02.01,PALABUHANRATU,SMPS PGRI 2 PELABUHANRATU,69758942,SWASTA,JL. CIKEONG NO 1,2023
