id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_sekolah,jumlah_siswa,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,452733,SISWA,2018/2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,68070,SISWA,2018/2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,221732,SISWA,2018/2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,9329,SISWA,2018/2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,234851,SISWA,2018/2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,5743,SISWA,2018/2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,342733,SISWA,2018/2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,23849,SISWA,2018/2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,261713,SISWA,2018/2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,16103,SISWA,2018/2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,158296,SISWA,2018/2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,2312,SISWA,2018/2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,92620,SISWA,2018/2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,560,SISWA,2018/2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,99466,SISWA,2018/2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,2615,SISWA,2018/2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,193286,SISWA,2018/2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,6962,SISWA,2018/2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,110333,SISWA,2018/2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,1691,SISWA,2018/2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,99543,SISWA,2018/2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,3733,SISWA,2018/2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,153982,SISWA,2018/2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,5325,SISWA,2018/2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,134849,SISWA,2018/2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,5557,SISWA,2018/2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,91708,SISWA,2018/2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,7073,SISWA,2018/2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,210856,SISWA,2018/2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,14991,SISWA,2018/2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,237231,SISWA,2018/2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,73802,SISWA,2018/2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,148833,SISWA,2018/2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,8700,SISWA,2018/2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,32667,SISWA,2018/2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,27,SISWA,2018/2019
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,85751,SISWA,2018/2019
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,20521,SISWA,2018/2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,28070,SISWA,2018/2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,4787,SISWA,2018/2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,171350,SISWA,2018/2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,54498,SISWA,2018/2019
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,28064,SISWA,2018/2019
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7491,SISWA,2018/2019
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,174498,SISWA,2018/2019
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,78441,SISWA,2018/2019
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,119907,SISWA,2018/2019
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,49076,SISWA,2018/2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,44504,SISWA,2018/2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,7307,SISWA,2018/2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,57418,SISWA,2018/2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,6872,SISWA,2018/2019
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,14823,SISWA,2018/2019
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,1009,SISWA,2018/2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,459275,SISWA,2019/2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,72761,SISWA,2019/2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,223525,SISWA,2019/2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,10622,SISWA,2019/2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,239047,SISWA,2019/2020
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,6424,SISWA,2019/2020
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,344278,SISWA,2019/2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,26434,SISWA,2019/2020
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,260361,SISWA,2019/2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,17611,SISWA,2019/2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,158504,SISWA,2019/2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,2782,SISWA,2019/2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,91977,SISWA,2019/2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,692,SISWA,2019/2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,98731,SISWA,2019/2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,3416,SISWA,2019/2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,193312,SISWA,2019/2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,8276,SISWA,2019/2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,110727,SISWA,2019/2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,2359,SISWA,2019/2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,99926,SISWA,2019/2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,4317,SISWA,2019/2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,156492,SISWA,2019/2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,6180,SISWA,2019/2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,135217,SISWA,2019/2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,6294,SISWA,2019/2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,92238,SISWA,2019/2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,7689,SISWA,2019/2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,214548,SISWA,2019/2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,16729,SISWA,2019/2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,239538,SISWA,2019/2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,78102,SISWA,2019/2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,150237,SISWA,2019/2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,9379,SISWA,2019/2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,32777,SISWA,2019/2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,173,SISWA,2019/2020
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,85021,SISWA,2019/2020
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,21326,SISWA,2019/2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,28211,SISWA,2019/2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,5280,SISWA,2019/2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,167466,SISWA,2019/2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,56753,SISWA,2019/2020
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,27579,SISWA,2019/2020
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7830,SISWA,2019/2020
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,168839,SISWA,2019/2020
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,81577,SISWA,2019/2020
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,117151,SISWA,2019/2020
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,51138,SISWA,2019/2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,43447,SISWA,2019/2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,7606,SISWA,2019/2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,57221,SISWA,2019/2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,7633,SISWA,2019/2020
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,14705,SISWA,2019/2020
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,460509,SISWA,2020/2021
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,74787,SISWA,2020/2021
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,223209,SISWA,2020/2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,11588,SISWA,2020/2021
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,242178,SISWA,2020/2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,6826,SISWA,2020/2021
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,340725,SISWA,2020/2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,27366,SISWA,2020/2021
116,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,255625,SISWA,2020/2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,18749,SISWA,2020/2021
118,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,157062,SISWA,2020/2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,3062,SISWA,2020/2021
120,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,90163,SISWA,2020/2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,763,SISWA,2020/2021
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,97487,SISWA,2020/2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,3951,SISWA,2020/2021
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,191300,SISWA,2020/2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,9633,SISWA,2020/2021
126,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,110502,SISWA,2020/2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,2787,SISWA,2020/2021
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,98899,SISWA,2020/2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,4437,SISWA,2020/2021
130,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,157777,SISWA,2020/2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,6789,SISWA,2020/2021
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,134729,SISWA,2020/2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,7083,SISWA,2020/2021
134,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,92531,SISWA,2020/2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,8202,SISWA,2020/2021
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,217163,SISWA,2020/2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,19676,SISWA,2020/2021
138,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,241877,SISWA,2020/2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,81431,SISWA,2020/2021
140,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,149853,SISWA,2020/2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,9776,SISWA,2020/2021
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,32227,SISWA,2020/2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,244,SISWA,2020/2021
144,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,83302,SISWA,2020/2021
145,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,21968,SISWA,2020/2021
146,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,27724,SISWA,2020/2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,5581,SISWA,2020/2021
148,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,162457,SISWA,2020/2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,56664,SISWA,2020/2021
150,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,26652,SISWA,2020/2021
151,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7951,SISWA,2020/2021
152,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,160125,SISWA,2020/2021
153,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,82730,SISWA,2020/2021
154,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,113337,SISWA,2020/2021
155,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,51869,SISWA,2020/2021
156,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,42223,SISWA,2020/2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,7700,SISWA,2020/2021
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,55963,SISWA,2020/2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,8154,SISWA,2020/2021
160,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,14383,SISWA,2020/2021
161,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,1043,SISWA,2020/2021
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,455511,SISWA,2021/2022
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,74582,SISWA,2021/2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,221050,SISWA,2021/2022
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,12300,SISWA,2021/2022
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,242310,SISWA,2021/2022
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,7390,SISWA,2021/2022
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,334572,SISWA,2021/2022
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,27669,SISWA,2021/2022
170,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,251619,SISWA,2021/2022
171,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,19686,SISWA,2021/2022
172,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,152981,SISWA,2021/2022
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,3294,SISWA,2021/2022
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,87571,SISWA,2021/2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,879,SISWA,2021/2022
176,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,95045,SISWA,2021/2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,4301,SISWA,2021/2022
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,186960,SISWA,2021/2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,10664,SISWA,2021/2022
180,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,109832,SISWA,2021/2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,3070,SISWA,2021/2022
182,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,97056,SISWA,2021/2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,4705,SISWA,2021/2022
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,156456,SISWA,2021/2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,7177,SISWA,2021/2022
186,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,132955,SISWA,2021/2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,7594,SISWA,2021/2022
188,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,90937,SISWA,2021/2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,8446,SISWA,2021/2022
190,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,213877,SISWA,2021/2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,21934,SISWA,2021/2022
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,242083,SISWA,2021/2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,83178,SISWA,2021/2022
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,148438,SISWA,2021/2022
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,10316,SISWA,2021/2022
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,31074,SISWA,2021/2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,250,SISWA,2021/2022
198,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,79765,SISWA,2021/2022
199,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,21936,SISWA,2021/2022
200,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,27040,SISWA,2021/2022
