id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,36646,ORANG,2017/2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,28742,ORANG,2017/2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,19171,ORANG,2017/2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,9193,ORANG,2017/2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,12234,ORANG,2017/2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,14956,ORANG,2017/2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,22835,ORANG,2017/2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,27317,ORANG,2017/2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,24797,ORANG,2017/2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,13490,ORANG,2017/2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,10149,ORANG,2017/2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,7306,ORANG,2017/2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,11745,ORANG,2017/2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,1518,ORANG,2017/2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,15923,ORANG,2017/2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,1668,ORANG,2017/2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,18198,ORANG,2017/2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,4232,ORANG,2017/2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,14539,ORANG,2017/2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,941,ORANG,2017/2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,12816,ORANG,2017/2018
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,2765,ORANG,2017/2018
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,14380,ORANG,2017/2018
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,4392,ORANG,2017/2018
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16223,ORANG,2017/2018
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,4906,ORANG,2017/2018
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,13432,ORANG,2017/2018
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,998,ORANG,2017/2018
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,28550,ORANG,2017/2018
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,3680,ORANG,2017/2018
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,38382,ORANG,2017/2018
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,10997,ORANG,2017/2018
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,15388,ORANG,2017/2018
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,8407,ORANG,2017/2018
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,3629,ORANG,2017/2018
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,343,ORANG,2017/2018
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,9466,ORANG,2017/2018
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,10672,ORANG,2017/2018
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,6611,ORANG,2017/2018
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,1713,ORANG,2017/2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,30441,ORANG,2017/2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,31127,ORANG,2017/2018
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,10451,ORANG,2017/2018
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,2350,ORANG,2017/2018
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,19848,ORANG,2017/2018
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,22337,ORANG,2017/2018
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,13830,ORANG,2017/2018
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,10482,ORANG,2017/2018
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,7118,ORANG,2017/2018
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,1940,ORANG,2017/2018
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,11134,ORANG,2017/2018
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,3375,ORANG,2017/2018
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,3160,ORANG,2017/2018
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,134,ORANG,2017/2018
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,40241,ORANG,2019/2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,29561,ORANG,2019/2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,22068,ORANG,2019/2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,12877,ORANG,2019/2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,14264,ORANG,2019/2020
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,18212,ORANG,2019/2020
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,23462,ORANG,2019/2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,29705,ORANG,2019/2020
