id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,8654,ORANG,2017/2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,114370,ORANG,2017/2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,7591,ORANG,2017/2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,34556,ORANG,2017/2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,19022,ORANG,2017/2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,34632,ORANG,2017/2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,10578,ORANG,2017/2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,45446,ORANG,2017/2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,14103,ORANG,2017/2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,35500,ORANG,2017/2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,8688,ORANG,2017/2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,28483,ORANG,2017/2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,7498,ORANG,2017/2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,13175,ORANG,2017/2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,12015,ORANG,2017/2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,14543,ORANG,2017/2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,10356,ORANG,2017/2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,40233,ORANG,2017/2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,13601,ORANG,2017/2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,12169,ORANG,2017/2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,6756,ORANG,2017/2018
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,18411,ORANG,2017/2018
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,18552,ORANG,2017/2018
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,28355,ORANG,2017/2018
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,10737,ORANG,2017/2018
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,25440,ORANG,2017/2018
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,13097,ORANG,2017/2018
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,7649,ORANG,2017/2018
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,19821,ORANG,2017/2018
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,39613,ORANG,2017/2018
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,14895,ORANG,2017/2018
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,45910,ORANG,2017/2018
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,5833,ORANG,2017/2018
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,23860,ORANG,2017/2018
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4287,ORANG,2017/2018
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,3928,ORANG,2017/2018
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,6387,ORANG,2017/2018
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,32948,ORANG,2017/2018
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5475,ORANG,2017/2018
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,6350,ORANG,2017/2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,23998,ORANG,2017/2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,38465,ORANG,2017/2018
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,4087,ORANG,2017/2018
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,7836,ORANG,2017/2018
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,12576,ORANG,2017/2018
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,54610,ORANG,2017/2018
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,4510,ORANG,2017/2018
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,34640,ORANG,2017/2018
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,5735,ORANG,2017/2018
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,13493,ORANG,2017/2018
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,6794,ORANG,2017/2018
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,12413,ORANG,2017/2018
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,5466,ORANG,2017/2018
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2882,ORANG,2017/2018
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,9784,ORANG,2018/2019
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,115964,ORANG,2018/2019
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,9178,ORANG,2018/2019
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,35699,ORANG,2018/2019
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,22686,ORANG,2018/2019
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,37418,ORANG,2018/2019
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11225,ORANG,2018/2019
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,46974,ORANG,2018/2019
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,16093,ORANG,2018/2019
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,37605,ORANG,2018/2019
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,10198,ORANG,2018/2019
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,31164,ORANG,2018/2019
