id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_murid,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,530,ORANG,2015/2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1961,ORANG,2015/2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1625,ORANG,2015/2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,599,ORANG,2015/2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2426,ORANG,2015/2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,522,ORANG,2015/2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,711,ORANG,2015/2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,819,ORANG,2015/2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,800,ORANG,2015/2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,645,ORANG,2015/2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1134,ORANG,2015/2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,754,ORANG,2015/2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,795,ORANG,2015/2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,456,ORANG,2015/2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,353,ORANG,2015/2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,883,ORANG,2015/2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,899,ORANG,2015/2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,568,ORANG,2015/2016
19,32,JAWA BARAT,3271,KOTA BOGOR,1302,ORANG,2015/2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,181,ORANG,2015/2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,313,ORANG,2015/2016
22,32,JAWA BARAT,3274,KOTA CIREBON,383,ORANG,2015/2016
23,32,JAWA BARAT,3275,KOTA BEKASI,667,ORANG,2015/2016
24,32,JAWA BARAT,3276,KOTA DEPOK,680,ORANG,2015/2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,326,ORANG,2015/2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,658,ORANG,2015/2016
27,32,JAWA BARAT,3279,KOTA BANJAR,286,ORANG,2015/2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,567,ORANG,2016/2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,805,ORANG,2016/2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,599,ORANG,2016/2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2717,ORANG,2016/2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1538,ORANG,2016/2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1846,ORANG,2016/2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,940,ORANG,2016/2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1366,ORANG,2016/2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,989,ORANG,2016/2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,712,ORANG,2016/2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,959,ORANG,2016/2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,592,ORANG,2016/2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,810,ORANG,2016/2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,592,ORANG,2016/2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,627,ORANG,2016/2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,664,ORANG,2016/2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,904,ORANG,2016/2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,364,ORANG,2016/2017
46,32,JAWA BARAT,3271,KOTA BOGOR,2104,ORANG,2016/2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,649,ORANG,2016/2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,179,ORANG,2016/2017
49,32,JAWA BARAT,3274,KOTA CIREBON,395,ORANG,2016/2017
50,32,JAWA BARAT,3275,KOTA BEKASI,974,ORANG,2016/2017
51,32,JAWA BARAT,3276,KOTA DEPOK,656,ORANG,2016/2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,597,ORANG,2016/2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,686,ORANG,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,482,ORANG,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,2599,ORANG,2017/2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,923,ORANG,2017/2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,662,ORANG,2017/2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,547,ORANG,2017/2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,1339,ORANG,2017/2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,524,ORANG,2017/2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,967,ORANG,2017/2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1781,ORANG,2017/2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,409,ORANG,2017/2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,358,ORANG,2017/2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,851,ORANG,2017/2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,731,ORANG,2017/2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,374,ORANG,2017/2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,514,ORANG,2017/2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,799,ORANG,2017/2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,804,ORANG,2017/2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1238,ORANG,2017/2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,978,ORANG,2017/2018
73,32,JAWA BARAT,3271,KOTA BOGOR,1956,ORANG,2017/2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,309,ORANG,2017/2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,992,ORANG,2017/2018
76,32,JAWA BARAT,3274,KOTA CIREBON,599,ORANG,2017/2018
77,32,JAWA BARAT,3275,KOTA BEKASI,636,ORANG,2017/2018
78,32,JAWA BARAT,3276,KOTA DEPOK,393,ORANG,2017/2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,614,ORANG,2017/2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,169,ORANG,2017/2018
81,32,JAWA BARAT,3279,KOTA BANJAR,669,ORANG,2017/2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,549,ORANG,2018/2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,803,ORANG,2018/2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,530,ORANG,2018/2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2565,ORANG,2018/2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,1768,ORANG,2018/2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,956,ORANG,2018/2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1340,ORANG,2018/2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,852,ORANG,2018/2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,958,ORANG,2018/2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,735,ORANG,2018/2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1206,ORANG,2018/2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,378,ORANG,2018/2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,799,ORANG,2018/2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,512,ORANG,2018/2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,354,ORANG,2018/2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,656,ORANG,2018/2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,930,ORANG,2018/2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,368,ORANG,2018/2019
100,32,JAWA BARAT,3271,KOTA BOGOR,593,ORANG,2018/2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,168,ORANG,2018/2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,1966,ORANG,2018/2019
103,32,JAWA BARAT,3274,KOTA CIREBON,390,ORANG,2018/2019
104,32,JAWA BARAT,3275,KOTA BEKASI,993,ORANG,2018/2019
105,32,JAWA BARAT,3276,KOTA DEPOK,610,ORANG,2018/2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,606,ORANG,2018/2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,688,ORANG,2018/2019
108,32,JAWA BARAT,3279,KOTA BANJAR,309,ORANG,2018/2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,583,ORANG,2019/2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,851,ORANG,2019/2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,595,ORANG,2019/2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2821,ORANG,2019/2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1867,ORANG,2019/2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1094,ORANG,2019/2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1442,ORANG,2019/2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,924,ORANG,2019/2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1119,ORANG,2019/2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,836,ORANG,2019/2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1316,ORANG,2019/2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,459,ORANG,2019/2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,880,ORANG,2019/2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,571,ORANG,2019/2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,423,ORANG,2019/2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,714,ORANG,2019/2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,990,ORANG,2019/2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,381,ORANG,2019/2020
127,32,JAWA BARAT,3271,KOTA BOGOR,619,ORANG,2019/2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,196,ORANG,2019/2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,2056,ORANG,2019/2020
130,32,JAWA BARAT,3274,KOTA CIREBON,418,ORANG,2019/2020
131,32,JAWA BARAT,3275,KOTA BEKASI,1005,ORANG,2019/2020
132,32,JAWA BARAT,3276,KOTA DEPOK,657,ORANG,2019/2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,639,ORANG,2019/2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,723,ORANG,2019/2020
135,32,JAWA BARAT,3279,KOTA BANJAR,331,ORANG,2019/2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,582,ORANG,2020/2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,891,ORANG,2020/2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,625,ORANG,2020/2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2790,ORANG,2020/2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1905,ORANG,2020/2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1115,ORANG,2020/2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1511,ORANG,2020/2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,986,ORANG,2020/2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,1167,ORANG,2020/2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,797,ORANG,2020/2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1329,ORANG,2020/2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,466,ORANG,2020/2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,876,ORANG,2020/2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,620,ORANG,2020/2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,427,ORANG,2020/2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,720,ORANG,2020/2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1041,ORANG,2020/2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,387,ORANG,2020/2021
154,32,JAWA BARAT,3271,KOTA BOGOR,617,ORANG,2020/2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,213,ORANG,2020/2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,2011,ORANG,2020/2021
157,32,JAWA BARAT,3274,KOTA CIREBON,403,ORANG,2020/2021
158,32,JAWA BARAT,3275,KOTA BEKASI,990,ORANG,2020/2021
159,32,JAWA BARAT,3276,KOTA DEPOK,629,ORANG,2020/2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,645,ORANG,2020/2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,710,ORANG,2020/2021
162,32,JAWA BARAT,3279,KOTA BANJAR,326,ORANG,2020/2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,689,ORANG,2024/2025
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1200,ORANG,2024/2025
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,801,ORANG,2024/2025
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3503,ORANG,2024/2025
167,32,JAWA BARAT,3205,KABUPATEN GARUT,2380,ORANG,2024/2025
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1332,ORANG,2024/2025
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1839,ORANG,2024/2025
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1375,ORANG,2024/2025
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,1570,ORANG,2024/2025
