id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,83478,ORANG,2017/2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,122046,ORANG,2017/2018
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,57964,ORANG,2017/2018
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,31403,ORANG,2017/2018
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,70109,ORANG,2017/2018
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,27356,ORANG,2017/2018
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,72777,ORANG,2017/2018
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,66731,ORANG,2017/2018
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,71951,ORANG,2017/2018
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,33895,ORANG,2017/2018
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,46539,ORANG,2017/2018
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,18877,ORANG,2017/2018
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,34217,ORANG,2017/2018
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,5097,ORANG,2017/2018
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,37956,ORANG,2017/2018
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,3276,ORANG,2017/2018
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,59779,ORANG,2017/2018
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,18811,ORANG,2017/2018
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,34856,ORANG,2017/2018
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,3926,ORANG,2017/2018
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,37190,ORANG,2017/2018
